climate change,global warming,green house,temperature,extreme weather,global environmental change,climate variability,greenhouse,low carbon,ghge,renewable energy,carbon emission,co2 emission,climate pollutant,politicalGroup,date
0,0,0,2,0,0,0,4,0,0,0,0,0,0,na,2019-09-17
0,0,0,2,0,0,0,10,0,0,0,0,0,0,PPE,2019-09-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2019-09-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NI,2019-09-17
0,0,0,6,0,0,0,4,0,0,0,0,0,0,S&D,2019-09-17
0,0,0,2,0,0,0,2,0,0,0,0,0,0,Renew,2019-09-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ID,2019-09-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2019-09-17
0,0,0,0,0,0,0,2,0,0,0,0,0,0,GUE/NGL,2019-09-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE-DE,2019-09-17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALDE,2019-09-17
