malaria,diarrhoea,infection,disease,sars,measles,pneumonia,epidemic,pandemic,public health,healthcare,epidemiology,health care,health,mortality,morbidity,nutrition,illness,infectious,NCD,non-communicable disease,noncommunicable disease,communicable disease,air pollution,malnutrition,mental disorder,stunting,politicalGroup,date
0,0,0,1,0,0,0,2,0,0,1,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,na,2020-01-29
0,0,2,2,0,0,0,2,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE,2020-01-29
0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Renew,2020-01-29
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2020-01-29
0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2020-01-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALDE,2020-01-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2020-01-29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NI,2020-01-29
0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,ID,2020-01-29
0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,GUE/NGL,2020-01-29
