climate change,global warming,green house,temperature,extreme weather,global environmental change,climate variability,greenhouse,low carbon,ghge,renewable energy,carbon emission,co2 emission,climate pollutant,politicalGroup,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE-DE,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENF,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFDD,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALDE,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NI,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUE/NGL,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFD,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PSE,2019-03-11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NI,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALDE,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUE/NGL,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENF,2019-04-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2014-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUE/NGL,2014-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2014-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2014-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE,2014-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2014-07-03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2014-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2014-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2014-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUE/NGL,2014-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE,2014-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALDE,2014-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFDD,2014-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NI,2014-07-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PSE,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALDE,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUE/NGL,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NI,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFDD,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE-DE,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFD,2019-03-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENF,2019-03-12
0,0,0,6,0,0,0,12,0,0,0,0,0,0,na,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,S&D,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALDE,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE-DE,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUE/NGL,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFD,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NI,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ECR,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFDD,2019-03-13
0,0,0,2,0,0,0,4,0,0,0,0,0,0,ENF,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Earl of) Dartmouth (EFDD,2019-03-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PSE,2019-03-13
0,0,0,2,0,0,0,0,0,0,0,0,0,0,S&D,2019-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,PPE,2019-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,2019-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ALDE,2019-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verts/ALE,2019-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENF,2019-03-14
0,0,0,0,0,0,0,2,0,0,0,0,0,0,GUE/NGL,2019-03-14
0,0,0,0,0,0,0,2,0,0,0,0,0,0,ECR,2019-03-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Earl of) Dartmouth (EFDD,2019-03-14
